base_sample_id,image_filename,source_expression,repaired_expression,repair_decision,source_expression_truth,confidence,added_atoms,removed_or_replaced_atoms,evidence_citations,reason,review_status,eligible_for_training
hallu_000157_COCO_train2014_000000086017,COCO_train2014_000000086017.jpg,the person next to the wine glasses,the person with a silver wristband next to the wine glasses,rewrite,ambiguous,high,"[{""text"": ""with a silver wristband"", ""type"": ""attribute"", ""evidence_cue"": ""silver/grey metallic wristband""}]",[],"[""silver/grey metallic wristband"", ""hand is directly adjacent to the cluster of wine glasses""]",The source expression is slightly ambiguous due to the presence of another person's arm in the scene. Adding the silver wristband attribute uniquely and accurately identifies the target person's arm resting next to the wine glasses.,pending_human_confirmation,False
hallu_000161_COCO_train2014_000000414499,COCO_train2014_000000414499.jpg,the snowboard next to the person,the pale yellow snowboard next to the rightmost person,rewrite,ambiguous,high,"[{""text"": ""pale yellow"", ""type"": ""color"", ""evidence_cue"": ""pale yellow/cream base color""}, {""text"": ""rightmost"", ""type"": ""relation"", ""evidence_cue"": ""positioned next to rightmost person""}]","[{""source_text"": ""the person"", ""replacement_text"": ""the rightmost person"", ""reason"": ""disambiguate among multiple people in the scene""}]","[""pale yellow/cream base color"", ""positioned next to rightmost person""]",The original expression is ambiguous due to the presence of multiple snowboards and people. Added the target's distinct color and specified the rightmost person to uniquely identify the correct snowboard.,pending_human_confirmation,False
hallu_000166_COCO_train2014_000000250380,COCO_train2014_000000250380.jpg,the person in front of the dog,the person in a red shirt in front of the dog,rewrite,ambiguous,high,"[{""text"": ""in a red shirt"", ""type"": ""color"", ""evidence_cue"": ""solid bright red short-sleeve shirt""}]",[],"[""solid bright red short-sleeve shirt"", ""person is in front of the dog (from viewer perspective)""]","The source expression is supported by the spatial evidence but led to same-category instance confusion, likely due to depth ambiguity. Adding the red shirt color provides a clear and definitive distinguishing cue.",pending_human_confirmation,False
hallu_000179_COCO_train2014_000000470501,COCO_train2014_000000470501.jpg,the baseball bat held by the person,the baseball bat held by the person in the blue shirt,rewrite,ambiguous,high,"[{""text"": ""in the blue shirt"", ""type"": ""attribute"", ""evidence_cue"": ""the baseball bat is held by the person wearing a blue shirt and red cap""}]",[],"[""the baseball bat is held by the person wearing a blue shirt and red cap"", ""a second person (in red shirt) holds a different bat""]",The source expression is ambiguous because there are two people holding baseball bats in the image. Adding the blue shirt color distinguishes the target person from the other person in a red shirt.,pending_human_confirmation,False
hallu_000183_COCO_train2014_000000370145,COCO_train2014_000000370145.jpg,the person in front of the counter,the person in front of the counter pouring from a bottle,rewrite,ambiguous,high,"[{""text"": ""pouring from a bottle"", ""type"": ""action_state"", ""evidence_cue"": ""actively pouring from bottle into pitcher""}]",[],"[""actively pouring from bottle into pitcher"", ""person is positioned in front of a wooden counter""]",The source expression is ambiguous because there are multiple people near the counter. Adding the specific action of pouring from a bottle uniquely identifies the target person.,pending_human_confirmation,False
hallu_000215_COCO_train2014_000000106438,COCO_train2014_000000106438.jpg,the cell phone in the person's hand,the orange cell phone in the person's hand,rewrite,ambiguous,high,"[{""text"": ""orange"", ""type"": ""color"", ""evidence_cue"": ""vibrant orange plastic casing surrounding the device""}]",[],"[""vibrant orange plastic casing surrounding the device"", ""orange color (vs purple distractor)""]",The source expression is ambiguous because there is a purple distractor cell phone also held in a person's hand. Adding the color 'orange' uniquely identifies the target.,pending_human_confirmation,False
hallu_000228_COCO_train2014_000000113244,COCO_train2014_000000113244.jpg,the cake on the plate,the cut cake on the plate,rewrite,ambiguous,high,"[{""text"": ""cut"", ""type"": ""attribute"", ""evidence_cue"": ""only target cake shows a clear vertical cut""}]",[],"[""only target cake shows a clear vertical cut""]","The source expression is ambiguous because there are multiple cakes on plates in the image. Added the attribute 'cut' to uniquely identify the target cake, which is the only one showing a clear vertical cut.",pending_human_confirmation,False
hallu_000239_COCO_train2014_000000541496,COCO_train2014_000000541496.jpg,the suitcase next to the backpack,the suitcase next to the backpack,keep,supported,high,[],[],"[""only one satisfies the relational constraint 'next to the backpack'"", ""GT suitcase is on floor directly left of the seat where a black backpack rests; spatial proximity satisfies 'next to'""]","The source expression truthfully and sufficiently identifies the exact target. Visual evidence confirms that the target is the only suitcase that satisfies the relational constraint of being next to the backpack, making the expression unambiguous despite the presence of other suitcases in the scene.",pending_human_confirmation,False
hallu_000261_COCO_train2014_000000036046,COCO_train2014_000000036046.jpg,the chair next to the person,the unoccupied chair next to the person,rewrite,ambiguous,high,"[{""text"": ""unoccupied"", ""type"": ""action_state"", ""evidence_cue"": ""unoccupied""}]",[],"[""unoccupied""]",The source expression is ambiguous because it could be misinterpreted as the chair the person is sitting on. Adding 'unoccupied' distinguishes the target empty chair from the occupied distractor.,pending_human_confirmation,False
hallu_000267_COCO_train2014_000000404812,COCO_train2014_000000404812.jpg,the person sitting on the couch,the person sitting on the couch holding a white game controller,rewrite,ambiguous,high,"[{""text"": ""holding a white game controller"", ""type"": ""action_state"", ""evidence_cue"": ""holding white game controller""}]",[],"[""holding white game controller"", ""exactly one other person visible""]",The source expression is ambiguous because there are two people sitting on the couch. Added the cue 'holding a white game controller' to uniquely identify the target person.,pending_human_confirmation,False
hallu_000277_COCO_train2014_000000153591,COCO_train2014_000000153591.jpg,the wine glass in front of the person,the wine glass in front of the person,keep,supported,high,[],[],"[""clearly visible stemmed wine glass with liquid"", ""blurred human-shaped form in background, consistent with being behind the glass in depth""]",The source expression truthfully and sufficiently identifies the exact target. It is the only clearly visible wine glass in the image and is correctly described as being in front of the blurred background person.,pending_human_confirmation,False
hallu_000303_COCO_train2014_000000024706,COCO_train2014_000000024706.jpg,the person holding a tennis racket,the person jumping and holding a tennis racket,rewrite,ambiguous,high,"[{""text"": ""jumping"", ""type"": ""action_state"", ""evidence_cue"": ""in mid-air (jumping)""}]",[],"[""in mid-air (jumping)"", ""feet clearly not touching ground""]","The source expression is ambiguous because a second person is also present and holding a tennis racket near the ground. Adding 'jumping' uniquely identifies the target, who is in mid-air.",pending_human_confirmation,False
hallu_000310_COCO_train2014_000000372790,COCO_train2014_000000372790.jpg,the umbrella held by the person,the blue and white striped umbrella held by the person in a tan jacket,rewrite,ambiguous,high,"[{""text"": ""blue and white striped"", ""type"": ""color"", ""evidence_cue"": ""blue-and-white vertical striped pattern""}, {""text"": ""in a tan jacket"", ""type"": ""attribute"", ""evidence_cue"": ""held by person in tan jacket""}]",[],"[""blue-and-white vertical striped pattern"", ""held by person in tan jacket""]",The source expression is ambiguous because there is another umbrella held by a different person in the scene. Added color and clothing cues to uniquely identify the target umbrella and the person holding it.,pending_human_confirmation,False
hallu_000321_COCO_train2014_000000573724,COCO_train2014_000000573724.jpg,the chair next to the table,the light beige upholstered armchair next to the small round white table,rewrite,ambiguous,high,"[{""text"": ""light beige"", ""type"": ""color"", ""evidence_cue"": ""light beige textured fabric""}, {""text"": ""upholstered armchair"", ""type"": ""object"", ""evidence_cue"": ""upholstered armchair with rolled arms and skirted base""}, {""text"": ""small round white"", ""type"": ""attribute"", ""evidence_cue"": ""small round white side table""}]","[{""source_text"": ""chair"", ""replacement_text"": ""upholstered armchair"", ""reason"": ""disambiguate from the straight-backed wooden chair""}, {""source_text"": ""the table"", ""replacement_text"": ""the small round white table"", ""reason"": ""disambiguate from the main white desk in the background""}]","[""light beige textured fabric"", ""upholstered armchair with rolled arms and skirted base"", ""small round white side table""]","The source expression is ambiguous due to the presence of multiple chairs and tables. Added color, upholstery, and specific table description to uniquely identify the target armchair and prevent confusion with the wooden chair near the main desk.",pending_human_confirmation,False
hallu_000335_COCO_train2014_000000500400,COCO_train2014_000000500400.jpg,the pizza in front of the person,the foreground pizza in front of the person,rewrite,ambiguous,high,"[{""text"": ""foreground"", ""type"": ""attribute"", ""evidence_cue"": ""foreground pizza is larger and closer to camera""}]",[],"[""foreground pizza is larger and closer to camera"", ""a second pizza is visible behind the target pizza""]",The source expression is ambiguous because there is a second pizza that is also in front of the person but positioned behind the target. Adding 'foreground' clearly distinguishes the target pizza from the background distractor.,pending_human_confirmation,False
hallu_000345_COCO_train2014_000000033896,COCO_train2014_000000033896.jpg,the person next to the dining table,the person with dark hair next to the dining table,rewrite,ambiguous,high,"[{""text"": ""with dark hair"", ""type"": ""attribute"", ""evidence_cue"": ""person has dark hair""}]",[],"[""person has dark hair (vs. distractor's reddish-blonde hair)""]",The source expression is ambiguous because there is a second person in an identical outfit and pose on the other side of the same table. Added 'with dark hair' to distinguish the target from the reddish-blonde distractor.,pending_human_confirmation,False
hallu_000375_COCO_train2014_000000246539,COCO_train2014_000000246539.jpg,the person's foot next to the apple,the person's lower-left foot next to the apple,rewrite,ambiguous,high,"[{""text"": ""lower-left"", ""type"": ""attribute"", ""evidence_cue"": ""lower-left quadrant foot""}]",[],"[""lower-left quadrant foot"", ""closest foot to the fruit bowl""]",The source expression is ambiguous because there is another foot belonging to the same person in the image. Added 'lower-left' to uniquely identify the target foot based on its spatial position.,pending_human_confirmation,False
hallu_000403_COCO_train2014_000000004578,COCO_train2014_000000004578.jpg,the dining table next to the window,the dining table next to the left window,rewrite,ambiguous,high,"[{""text"": ""left"", ""type"": ""attribute"", ""evidence_cue"": ""immediate adjacency to the left window (not the right window)""}]","[{""source_text"": ""the window"", ""replacement_text"": ""the left window"", ""reason"": ""specify left window to disambiguate from other tables and windows in the scene""}]","[""immediate adjacency to the left window (not the right window)""]",The source expression is ambiguous due to the presence of multiple dining tables. Adding 'left' to specify the left window uniquely identifies the target table based on the provided disambiguating cues.,pending_human_confirmation,False
hallu_000418_COCO_train2014_000000431704,COCO_train2014_000000431704.jpg,the dining table with a bowl and donuts,the dining table with a white bowl and a yellow-labeled can,rewrite,ambiguous,high,"[{""text"": ""white"", ""type"": ""color"", ""evidence_cue"": ""white bowl""}, {""text"": ""yellow-labeled can"", ""type"": ""object"", ""evidence_cue"": ""open yellow-labeled can""}]","[{""source_text"": ""and donuts"", ""replacement_text"": ""and a yellow-labeled can"", ""reason"": ""donuts are located outside the grounded GT box""}]","[""presence of white bowl and open yellow-labeled can on wooden surface"", ""donuts are on a red tray located above and outside the GT box""]","The source expression includes donuts which are outside the GT box. The expression is rewritten to replace the donuts with the yellow-labeled can that is actually inside the grounded region, and adds the color of the bowl for disambiguation.",pending_human_confirmation,False
hallu_000434_COCO_train2014_000000324332,COCO_train2014_000000324332.jpg,the bus next to the people,the green bus next to the people,rewrite,ambiguous,high,"[{""text"": ""green"", ""type"": ""color"", ""evidence_cue"": ""distinct green paint on lower front bumper/panel""}]",[],"[""distinct green paint on lower front bumper/panel"", ""orange-and-white bus on the left""]",The source expression is ambiguous because there is another bus (orange-and-white) that also has people next to it. Adding the color 'green' uniquely identifies the target bus.,pending_human_confirmation,False
hallu_000438_COCO_train2014_000000074078,COCO_train2014_000000074078.jpg,the couch next to the fireplace,the couch next to the fireplace,keep,supported,high,[],[],"[""the couch is directly adjacent to the brick fireplace on its right side"", ""GT box encloses a clearly identifiable plaid-upholstered couch""]",The source expression truthfully and sufficiently identifies the exact target. The spatial relation 'next to the fireplace' is strongly supported by the visual evidence and effectively distinguishes the target from the same-category distractors in the scene.,pending_human_confirmation,False
hallu_000481_COCO_train2014_000000389188,COCO_train2014_000000389188.jpg,the tennis racket in the person's hand,the tennis racket in the hand of the person on the left,rewrite,ambiguous,high,"[{""text"": ""on the left"", ""type"": ""relation"", ""evidence_cue"": ""racket held by person on left (viewer’s left) side of net""}]","[{""source_text"": ""the person's hand"", ""replacement_text"": ""the hand of the person on the left"", ""reason"": ""disambiguate from the other person holding a racket on the right""}]","[""racket held by person on left (viewer’s left) side of net""]",The source expression is ambiguous because there are two people holding tennis rackets on opposite sides of the net. Added 'on the left' to specify the correct person holding the target racket.,pending_human_confirmation,False
hallu_000484_COCO_train2014_000000159768,COCO_train2014_000000159768.jpg,the person next to the dining table,the person in the green and blue striped top next to the dining table,rewrite,ambiguous,high,"[{""text"": ""in the green and blue striped top"", ""type"": ""attribute"", ""evidence_cue"": ""striped green-and-blue top""}]",[],"[""striped green-and-blue top"", ""person is seated at a white dining table""]",The source expression is ambiguous because there is another person seated at the same dining table. Added the target's distinct clothing pattern and colors to uniquely identify her.,pending_human_confirmation,False
hallu_000497_COCO_train2014_000000428446,COCO_train2014_000000428446.jpg,the dining table with a green placemat,the dining table with an empty green placemat,rewrite,ambiguous,high,"[{""text"": ""empty"", ""type"": ""attribute"", ""evidence_cue"": ""placemat lies on light wood table without any food or dish on it""}]","[{""source_text"": ""a"", ""replacement_text"": ""an empty"", ""reason"": ""added 'empty' to distinguish the target placemat from the other green placemat that has food and dishes on it""}]","[""placemat lies on light wood table without any food or dish on it"", ""lower table area containing pizza in pan, fork, knife, and beer bottle on a second green placemat""]","The source expression is ambiguous because there are multiple green placemats on the table. Adding 'empty' distinguishes the target placemat, which has no food or dishes on it, from the other placemat that holds a pizza and cutlery.",pending_human_confirmation,False
hallu_000552_COCO_train2014_000000289425,COCO_train2014_000000289425.jpg,the baseball player in front of the glove,the baseball player in front of the glove,keep,supported,high,[],[],"[""the green-boxed person is closer to the camera than the glove held by the orange-boxed person"", ""person wearing full baseball uniform (helmet, jersey, pants), on baseball field""]","The source expression truthfully and sufficiently identifies the target, who is spatially closer to the camera than the glove held by another player. Baseline failures are due to model misinterpretation of the spatial relation, not a flaw in the expression itself.",pending_human_confirmation,False
hallu_000554_COCO_train2014_000000111142,COCO_train2014_000000111142.jpg,the person next to the pizza,the person next to the pizza on the right,rewrite,ambiguous,high,"[{""text"": ""on the right"", ""type"": ""relation"", ""evidence_cue"": ""person is positioned to the right of the pizza""}]",[],"[""person is positioned to the right of the pizza"", ""another person is on the left side of the pizza""]",The original expression is ambiguous because there is another person on the left side of the pizza. Added 'on the right' to specify the target's relative position and disambiguate from the distractor.,pending_human_confirmation,False
hallu_000588_COCO_train2014_000000025353,COCO_train2014_000000025353.jpg,the person standing next to the snowboard,the person in black standing next to the snowboard,rewrite,ambiguous,high,"[{""text"": ""in black"", ""type"": ""color"", ""evidence_cue"": ""black outfit vs. light-gray jacket of distractor""}]",[],"[""black outfit vs. light-gray jacket of distractor"", ""standing posture (vs. sitting distractor)""]",The source expression is accurate but caused confusion with a same-category distractor sitting on a snowboard. Adding the color cue 'in black' uniquely distinguishes the standing target from the distractor in the light-gray jacket.,pending_human_confirmation,False
hallu_000596_COCO_train2014_000000546261,COCO_train2014_000000546261.jpg,the bicycle next to the person,the bicycle with the blue fork next to the person,rewrite,ambiguous,high,"[{""text"": ""with the blue fork"", ""type"": ""color"", ""evidence_cue"": ""blue painted metal fork visible left of wheel""}]",[],"[""blue-painted fork distinguishes this bicycle from other bikes possibly present"", ""blue painted metal fork visible left of wheel""]",The source expression is ambiguous due to the presence of three same-category distractors. Adding the distinguishing cue of the blue fork uniquely identifies the target bicycle.,pending_human_confirmation,False
hallu_000602_COCO_train2014_000000492408,COCO_train2014_000000492408.jpg,the umbrella held by the person,the umbrella on the right held by the person,rewrite,ambiguous,high,"[{""text"": ""on the right"", ""type"": ""relation"", ""evidence_cue"": ""positioned to the right of the other umbrella""}]",[],"[""positioned to the right of the other umbrella"", ""two umbrellas are present in the scene""]",The source expression is ambiguous due to the presence of a second umbrella in the scene. Adding 'on the right' uniquely identifies the target umbrella based on its spatial position relative to the distractor.,pending_human_confirmation,False
hallu_000613_COCO_train2014_000000567678,COCO_train2014_000000567678.jpg,the chair in front of the table,the white folding chair in front of the table,rewrite,ambiguous,high,"[{""text"": ""white"", ""type"": ""color"", ""evidence_cue"": ""white or light gray""}, {""text"": ""folding"", ""type"": ""attribute"", ""evidence_cue"": ""folding chair design""}]",[],"[""white or light gray"", ""folding chair design""]",The source expression is ambiguous due to the presence of multiple chairs in the scene. Added color and design attributes to uniquely identify the target folding chair and prevent confusion with the other distractors.,pending_human_confirmation,False
hallu_000618_COCO_train2014_000000380661,COCO_train2014_000000380661.jpg,the chair next to the dining table,the chair next to the dining table occupied by a person in a maroon robe,rewrite,ambiguous,high,"[{""text"": ""occupied by a person in a maroon robe"", ""type"": ""action_state"", ""evidence_cue"": ""occupied by person in maroon robe with white lower garment""}]",[],"[""occupied by person in maroon robe with white lower garment""]",The source expression is ambiguous because there are multiple identical chairs next to the dining table. Adding the specific clothing of the person occupying the target chair uniquely identifies it.,pending_human_confirmation,False
hallu_000621_COCO_train2014_000000152003,COCO_train2014_000000152003.jpg,the carrot next to the rice,the carrot to the left of the rice,rewrite,ambiguous,high,"[{""text"": ""to the left of"", ""type"": ""relation"", ""evidence_cue"": ""adjacent to left side of rice mound""}]","[{""source_text"": ""next to"", ""replacement_text"": ""to the left of"", ""reason"": ""disambiguate from other carrot chunks by specifying exact relative position to the rice""}]","[""adjacent to left side of rice mound"", ""lower-left quadrant of dish relative to rice""]",The source expression is ambiguous due to the presence of three other carrot chunks in the dish. Rewriting to specify the target's position to the left of the rice uniquely identifies it based on the provided disambiguating cues.,pending_human_confirmation,False
hallu_000625_COCO_train2014_000000408266,COCO_train2014_000000408266.jpg,the chair next to the dining table,the chair with a child sitting on it next to the dining table,rewrite,ambiguous,high,"[{""text"": ""with a child sitting on it"", ""type"": ""action_state"", ""evidence_cue"": ""occupied (child sitting on it)""}]",[],"[""occupied (child sitting on it)"", ""child seated on it (unique among visible chairs)""]",The source expression is ambiguous because there are multiple chairs in a row next to the dining table. Adding that a child is sitting on it uniquely identifies the target chair based on the visual evidence.,pending_human_confirmation,False
hallu_000656_COCO_train2014_000000015885,COCO_train2014_000000015885.jpg,the person on the horse,the person in the light blue uniform shirt on the horse,rewrite,ambiguous,high,"[{""text"": ""in the light blue uniform shirt"", ""type"": ""attribute"", ""evidence_cue"": ""light blue uniform shirt""}]",[],"[""light blue uniform shirt""]",The source expression is ambiguous because there is another mounted officer in the scene. Added the distinguishing cue of the light blue uniform shirt to uniquely identify the target person.,pending_human_confirmation,False
hallu_000659_COCO_train2014_000000251466,COCO_train2014_000000251466.jpg,the horse next to the person,the light brown horse next to the person,rewrite,ambiguous,high,"[{""text"": ""light brown"", ""type"": ""color"", ""evidence_cue"": ""uniform light brown coat visible across torso and neck""}]",[],"[""uniform light brown coat visible across torso and neck"", ""light brown coat with blond mane (vs. white horse in orange box)""]","The source expression is ambiguous because there are two horses in the scene, both with riders. Adding the color 'light brown' distinguishes the target from the white horse distractor.",pending_human_confirmation,False
hallu_000666_COCO_train2014_000000316671,COCO_train2014_000000316671.jpg,the wine glass on the table,the leftmost wine glass on the table,rewrite,ambiguous,high,"[{""text"": ""leftmost"", ""type"": ""attribute"", ""evidence_cue"": ""leftmost wine glass on table""}]",[],"[""leftmost wine glass on table""]",The source expression is ambiguous due to the presence of other wine glasses in the scene. Adding 'leftmost' uniquely identifies the target based on the provided disambiguating cues and spatial evidence.,pending_human_confirmation,False
hallu_000667_COCO_train2014_000000320472,COCO_train2014_000000320472.jpg,the television in front of the picture,the television with an antenna in front of the picture,rewrite,ambiguous,high,"[{""text"": ""with an antenna"", ""type"": ""attribute"", ""evidence_cue"": ""has external antenna""}]",[],"[""has external antenna"", ""the television is in front of the picture""]",The source expression is factually correct but lacks a distinguishing visual cue to prevent confusion with the other TV in the scene. Added 'with an antenna' to uniquely identify the target.,pending_human_confirmation,False
hallu_000682_COCO_train2014_000000155107,COCO_train2014_000000155107.jpg,the laptop next to the keyboard,the white laptop next to the keyboard,rewrite,ambiguous,high,"[{""text"": ""white"", ""type"": ""color"", ""evidence_cue"": ""entire visible chassis is white plastic/metal""}]",[],"[""white color distinguishes it from silver laptop on left"", ""entire visible chassis is white plastic/metal""]","Added 'white' to distinguish the target from another silver laptop in the scene, resolving same-category instance confusion that caused baseline failures.",pending_human_confirmation,False
hallu_000683_COCO_train2014_000000296790,COCO_train2014_000000296790.jpg,the dining table with pizza and utensils,"the dining table with pizza, utensils, and a separate plate with one slice",rewrite,ambiguous,high,"[{""text"": ""a separate plate with one slice"", ""type"": ""relation"", ""evidence_cue"": ""only table with both a whole pizza on cardboard AND a separate plate with one slice""}]",[],"[""only table with both a whole pizza on cardboard AND a separate plate with one slice"", ""two other tables visible: one in background with another pizza, and one partially visible""]",The source expression is ambiguous because another dining table in the scene also has pizza and a utensil (spatula). Adding the presence of a separate plate with one slice uniquely identifies the target table.,pending_human_confirmation,False
hallu_000711_COCO_train2014_000000056594,COCO_train2014_000000056594.jpg,the umbrella held by the person,the purple folded umbrella held by the person,rewrite,ambiguous,high,"[{""text"": ""purple"", ""type"": ""color"", ""evidence_cue"": ""solid purple fabric visible in crop""}, {""text"": ""folded"", ""type"": ""attribute"", ""evidence_cue"": ""umbrella is tightly folded and held vertically""}]",[],"[""solid purple fabric visible in crop"", ""umbrella is tightly folded and held vertically""]",The source expression is ambiguous because there is another umbrella held by a person in the image. Added 'purple' and 'folded' to uniquely identify the target umbrella and distinguish it from the green-and-white open distractor.,pending_human_confirmation,False
hallu_000721_COCO_train2014_000000300620,COCO_train2014_000000300620.jpg,the laptop on the table,the laptop on the table displaying a blue and white UI,rewrite,ambiguous,high,"[{""text"": ""displaying a blue and white UI"", ""type"": ""attribute"", ""evidence_cue"": ""screen displays a blue/white UI with tabular data""}]",[],"[""screen displays a blue/white UI with tabular data"", ""multiple laptops are present on the same table""]",The source expression is ambiguous because there are multiple laptops on the table. Added the screen content to uniquely identify the target laptop.,pending_human_confirmation,False
hallu_000732_COCO_train2014_000000127620,COCO_train2014_000000127620.jpg,the couch next to the person,the dark leather couch next to the person,rewrite,ambiguous,high,"[{""text"": ""dark"", ""type"": ""color"", ""evidence_cue"": ""dark brown or black""}, {""text"": ""leather"", ""type"": ""material"", ""evidence_cue"": ""leather or faux leather""}]",[],"[""dark brown or black"", ""leather or faux leather""]",Added color and material cues to disambiguate the target from the same-category distractor.,pending_human_confirmation,False
